max_in_o,min_in_o,mean_in_o,median_in_o,std_in_o,var_in_o,fquan_in_o,lquan_in_o,skew_in_o,max_out_o,min_out_o,mean_out_o,median_out_o,std_out_o,var_out_o,fquan_out_o,lquan_out_o,skew_out_o,max_O_conc,min_O_conc,mean_O_conc,median_O_conc,std_O_conc,var_O_conc,fquan_O_conc,lauqn_O_conc,skew_O_conc,max_B,min_B,mean_B,median_B,std_B,var_B,fquan_B,lquan_B,skew_B,inCount,outCount,inSize,outSize,el1,el2,el3,el4,el5,el6,el7,el8,el9,el10,el11,el12,el13,el14,el15,el16,el17,el18,el19,el20,el21,el22,el23,el24,el25,el26,el27,el28,el29,el30,el31,el32,el33,el34,el35,el36,el37,el38,el39,el40,el41,el42,el43,el44,el45,el46,el47,el48,el49,el50,el51,el52,el53,el54,el55,el56,el57,el58,el59,el60,el61,el62,el63,el64,el65,el66,el67,el68,el69,el70,el71,el72,el73,el74,el75,el76,el77,el78,el79,el80,el81,el82,el83,el84,el85,el86,el87,el88,el89,el90,el91,el92,el93,el94,el95,el96,el97,el98,el99,el100,el101,label
207,1,109.5,105.48412698412699,3426.1862559838746,58.53363354503011,50.25,155.25,-0.07381898466788057,209,2,99.0,104.26506024096386,3963.6887792132393,62.95783334274806,56.0,164.5,0.09480903282289797,15,9,10.5,11.333333333333334,6.222222222222221,2.494438257849294,9.0,13.5,0.3269177691250185,1.4070839881896973,0.0004489421844482422,0.21542596817016602,0.23968318990758947,0.04159658412017894,0.2039524065074471,0.10461890697479248,0.26896560192108154,2.674253023866409,126,83,170534,67838,536.0,-1329.64,1048.72,1283.08,1517.44,2228.2,1993.84,1759.48,1426.88,1705.24,4083.6,6461.96,8840.32,11218.68,13597.04,15975.4,15457.76,16488.12,18866.48,21244.84,23623.2,26001.56,27307.92,29686.28,32064.64,30717.0,29410.64,29928.28,30990.08,30196.44,30573.2,31410.84,30104.48,30193.88,28519.76,29037.4,29079.04,29119.32,29318.32,30748.04,30982.4,32288.76,33608.88,32005.48,31272.16,30993.8,31536.56,33914.92,36293.28,38671.64,39118.0,38112.36,39418.72,41797.08,42031.44,41193.8,43572.16,45950.52,48328.88,50707.24,53085.6,53363.96,51285.68,52804.68,55183.04,57561.4,59939.76,62318.12,64696.48,67074.84,67309.2,69687.56,72065.92,74444.28,76822.64,79201.0,80548.64,78170.28,77892.08,77098.44,79476.8,81855.16,83974.48,83715.88,86094.24,88472.6,90850.96,93229.32,95607.68,97986.04,100364.4,101438.76,102745.12,105123.48,104329.84,105636.2,104793.44,103487.08,102227.28,102461.64,102696.0,0
222,1,113.0,111.03703703703704,3807.976406035665,61.70880331067574,59.0,157.5,-0.015111485985470212,221,2,110.0,112.2183908045977,4569.9408112035935,67.60133734774479,54.0,173.5,0.012519705219746135,14,5,12.0,11.571428571428571,7.673469387755101,2.7701027756664733,12.0,13.0,-1.7701492824755303,0.6368391513824463,0.0026090145111083984,0.17083287239074707,0.18607949307470611,0.015749270932070663,0.12549609927033853,0.08688175678253174,0.25759363174438477,1.0592798724544223,135,87,161612,73198,536.0,734.74,933.48,104.22,2446.96,3566.3,2888.44,3087.18,3954.08,3572.66,2484.6,1914.14,2156.88,4464.38,5770.36,8113.1,9383.84,11041.42,12997.32,12267.94,12366.8,12622.46,11780.28,13051.02,15393.76,15431.5,17183.24,16397.98,17392.72,19444.54,19182.2,20176.94,21104.32,20574.42,20773.16,23115.9,23769.36,22774.62,21568.12,23910.86,26253.6,28596.34,30939.08,33281.82,32063.44,32927.3,32969.96,32771.22,31500.48,32053.74,33025.0,35367.74,37710.48,40053.22,39499.96,41842.7,44185.44,46528.18,48870.92,49633.66,51976.4,54319.14,56661.88,59004.62,61347.36,60794.1,63136.84,65479.58,67822.32,70165.06,72187.8,74530.54,76873.28,76320.02,78662.76,81005.5,83348.24,83226.98,80934.28,81487.54,80492.8,80250.06,78979.32,79455.42,77830.16,80172.9,81255.64,81454.38,83797.12,84696.14,85266.6,86537.34,85083.92,85913.18,86698.44,85427.7,86547.04,87982.22,87783.48,88215.26,88414.0,0
214,1,111.5,109.68939393939394,3356.4110996326904,57.9345415070551,62.75,156.75,-0.0029990428629427927,212,3,98.0,103.97560975609755,4536.340868530637,67.35236349624738,43.5,164.25,0.04399273462783176,17,6,12.0,11.571428571428571,9.959183673469388,3.1558174334820746,10.0,13.0,-0.06734523732261091,3.9185609817504883,0.015959978103637695,0.20244860649108887,0.2574976448152886,0.2264216443494067,0.47583783408784,0.10356855392456055,0.2675172686576843,6.812940088425856,132,82,157302,64168,536.0,601.34,-710.68,-295.98,-1913.36,-1193.3,-1127.96,-1037.38,-2025.28,-1959.94,249.4,1386.74,3596.08,3754.58,3689.24,3836.1,6045.44,6110.78,6176.12,7313.46,7233.2,6460.14,8669.48,7982.82,10192.16,12401.5,14610.84,16820.18,16694.48,16674.86,18884.2,17858.46,17510.88,19231.78,20349.56,22558.9,24451.76,25905.58,28114.92,28224.26,27537.6,29746.94,30935.72,31269.62,33478.96,35688.3,37897.64,39554.98,40503.68,41829.66,41877.0,43352.34,45561.68,47771.02,49980.36,52189.7,54399.04,56608.38,58817.72,61027.06,63236.4,65213.74,67423.08,69632.42,71841.76,74051.1,74116.44,76325.78,77292.88,76155.54,76090.2,75559.14,76696.48,76878.18,77899.16,79699.5,79101.84,77424.82,79276.52,78589.86,80799.2,83008.54,84306.12,83200.78,83135.44,83822.1,83004.76,82736.58,83409.92,85619.26,87828.6,88965.94,89031.28,88344.62,88562.04,89271.3,89336.64,90378.02,91611.32,91751.34,93134.0,0
198,2,108.0,104.09482758620689,3134.1375594530323,55.9833685968702,57.75,147.5,-0.10559223659299947,200,1,90.0,95.53571428571429,3565.724914965986,59.71369118523813,45.75,154.5,0.1506223202136756,17,4,14.0,12.666666666666666,17.555555555555554,4.189935029992178,12.25,15.0,-1.2336173077408468,0.7030029296875,0.0020499229431152344,0.23352456092834473,0.23865110643448367,0.022079782433193272,0.14859267287855507,0.12760013341903687,0.3074426054954529,0.7661381699880503,116,84,147566,65398,-86.0,-70.78,-55.56,984.34,2926.88,2069.9,3126.68,1812.54,755.76,-301.02,1097.8,-314.58,83.36,2212.14,4340.92,4325.7,6454.48,8583.26,10712.04,9999.18,10014.4,10710.38,10739.16,8944.06,9724.72,11853.5,11838.28,13967.06,16095.84,18211.38,18170.6,17113.82,17194.96,18172.26,17164.52,19293.3,20350.08,21185.14,20363.64,21420.42,21405.2,21389.98,23518.76,24575.54,25632.32,27761.1,29889.88,31177.34,31251.44,31119.78,30063.0,29006.22,29930.56,32059.34,31016.12,33144.9,35273.68,37402.46,39531.24,41660.02,41688.8,43817.58,44717.64,45931.14,48059.92,50188.7,52317.48,54446.26,56575.04,58703.82,60832.6,62961.38,65090.16,67218.94,69347.72,70404.5,72533.28,74341.94,74646.84,75356.38,74299.6,75298.82,75745.96,77874.74,77859.52,76816.3,77873.08,77901.86,77153.36,76799.42,76111.8,77199.02,75070.24,76870.54,78140.68,78232.1,78923.12,79690.34,81082.44,83211.22,82168.0,0
204,1,107.5,104.56557377049181,3250.8358640150495,57.016101796028195,54.5,150.5,-0.11368019979953144,205,2,93.0,100.6987951807229,3862.282769632747,62.14726679132999,50.5,162.5,0.1466440494568192,15,6,12.5,11.833333333333334,8.472222222222223,2.9107081994288304,11.25,13.75,-1.0513280892320207,1.1700870990753174,0.004445075988769531,0.1910538673400879,0.20312592176001842,0.02616088450175181,0.16174326725323626,0.10365307331085205,0.25933098793029785,3.071350787411043,122,83,141640,65180,536.0,454.84,-373.68,1408.52,2740.64,3390.2,3930.96,3271.88,1905.28,1053.56,972.4,1828.76,2998.08,5060.92,6051.76,8114.6,10177.44,12240.28,12159.12,13298.04,13112.8,12388.36,12469.52,11885.32,11559.84,10695.0,11402.16,10687.32,12592.48,10529.64,10597.2,12660.04,14722.88,16138.28,15632.56,17695.4,16813.76,15822.92,16280.08,15722.76,15365.6,15407.56,16275.28,17266.12,19328.96,21391.8,23454.64,25517.48,27580.32,29024.84,28034.0,27087.16,26096.32,26190.52,28253.36,29667.8,29483.04,31545.88,32863.28,32775.56,34838.4,36901.24,37267.92,37390.92,36557.76,38620.6,40683.44,42746.28,44809.12,46871.96,48934.8,50997.64,53060.48,55123.32,57186.16,58973.0,61035.84,60905.32,61945.52,64008.36,66071.2,68134.04,69415.12,70159.72,72222.56,73450.6,73487.76,74596.92,74634.08,74004.76,73923.6,73805.56,74877.28,76940.12,78405.04,78242.2,77768.64,78759.48,78165.68,76378.84,76460.0,0
226,1,119.0,114.68571428571428,4061.315510204082,63.728451340073235,59.75,167.5,-0.0817708549857507,224,3,102.0,111.56976744186046,4567.570713899406,67.58380511557044,54.5,176.25,0.12112047844477118,13,8,12.0,11.142857142857142,2.979591836734694,1.7261494247992246,10.5,12.0,-0.8876923435282924,0.5907690525054932,0.002302885055541992,0.21497809886932373,0.21609721891582012,0.01560322042620637,0.12491285132525945,0.12142235040664673,0.2908039689064026,0.5255675274806438,140,86,166398,64378,536.0,694.4,219.2,2127.2,3357.6,3560.0,4790.4,4435.2,3204.8,5353.6,7656.0,8886.4,8783.2,9247.2,9538.4,8308.0,8738.4,11040.8,13343.2,12517.6,12676.0,13906.4,16208.8,16367.2,14930.4,14772.0,15858.4,17088.8,17380.8,17405.6,19708.0,22010.4,24312.8,26615.2,28917.6,30148.0,29554.4,27895.2,27736.8,26581.6,25988.0,26146.4,28448.8,30751.2,33053.6,33240.0,34210.4,36512.8,38776.8,40045.6,39964.0,41478.4,43780.8,44672.8,43389.6,43196.0,44822.4,45776.8,48079.2,49309.6,51612.0,53914.4,56216.8,58519.2,60821.6,63124.0,65426.4,67728.8,70031.2,70233.6,72536.0,74838.4,77140.8,79443.2,81745.6,82976.0,84206.4,85167.2,84843.2,83973.6,86276.0,88578.4,90604.8,90763.2,93065.6,95368.0,95570.4,96019.2,93787.2,96089.6,98392.0,98550.4,98931.2,97976.8,97997.6,100300.0,101530.4,100616.8,100775.2,102005.6,102020.0,0
269,1,145.0,138.82716049382717,5742.414570949551,75.77872109602768,72.25,199.5,-0.12994580722882088,270,2,118.5,130.50925925925927,6532.157321673526,80.8217626736359,61.5,209.5,0.18318863224939105,15,6,13.0,12.0,8.0,2.8284271247461903,12.0,14.0,-1.1490485194281397,0.8695099353790283,0.008999109268188477,0.22246193885803223,0.21051975316221608,0.02078377851436875,0.14416580216670233,0.09426295757293701,0.2668569087982178,1.3956005334175972,162,108,175578,82824,536.0,1014.66,2618.68,3212.02,2733.36,2298.7,2159.96,357.38,1017.28,2523.94,5102.6,7681.26,10259.92,11809.42,12201.24,12520.1,11014.56,13593.22,15099.88,12661.46,12226.8,10720.14,11610.52,14189.18,15695.84,18274.5,19781.16,19143.82,17478.48,20057.14,21563.8,20926.46,21358.88,18780.22,18118.44,16838.9,16975.76,19554.42,22133.08,23324.26,24074.4,25450.94,23959.72,24438.38,24102.96,26423.7,26185.64,28409.02,30987.68,33566.34,36145.0,36880.34,37197.68,36420.98,35783.64,36401.7,34895.04,35212.38,37090.28,39668.94,42247.6,43246.26,45824.92,48403.58,50982.24,53560.9,56139.56,57646.22,60224.88,60703.54,63282.2,64788.86,66632.48,67802.18,69308.84,71887.5,74466.16,77044.82,78551.48,81130.14,83708.8,84652.54,83506.12,84535.22,83348.56,85926.1,88504.76,91083.42,92590.08,93555.26,93120.6,91838.06,92251.28,90744.62,90058.04,89831.3,88871.36,91450.02,92956.68,92319.34,92754.0,0
231,3,122.5,120.07042253521126,4188.995040666535,64.72244618883417,66.5,174.75,-0.062037864535843694,232,1,101.0,110.86666666666666,4900.826666666666,70.00590451288139,51.5,172.75,0.11272618462061756,15,9,11.0,11.571428571428571,3.387755102040817,1.840585532389304,10.5,12.5,0.504965402266771,0.6942448616027832,0.003936052322387695,0.19189941883087158,0.20036211609840393,0.01749542909728774,0.13227028803660987,0.11964666843414307,0.26688283681869507,1.0164339996821024,142,90,170798,73690,-536.0,-1903.52,-1912.96,457.44,-205.92,850.4,-1589.12,-2956.64,-2180.16,-4619.68,-4512.8,-2073.28,366.24,2805.76,5245.28,6612.8,7923.68,7628.16,7332.64,6810.88,5669.6,5374.08,5641.44,6607.04,7063.52,8760.0,10872.48,11328.96,12110.56,14550.08,16886.4,16546.88,17304.64,16528.16,15660.32,17119.2,15821.28,14858.24,16225.76,18665.28,21104.8,23544.32,25983.84,28423.36,27861.12,28030.4,30469.92,31042.56,32928.96,35368.48,37808.0,40247.52,41636.96,42982.56,45422.08,44965.6,47405.12,49844.64,52284.16,54723.68,56091.2,54286.72,55422.24,54118.24,56057.28,57451.2,58836.32,61275.84,63715.36,66154.88,68594.4,71033.92,73302.56,73016.96,75456.48,74360.0,76799.52,78800.96,80229.44,77789.92,79141.6,80846.88,82948.64,85388.16,86755.68,89195.2,88013.28,87642.24,87981.76,87038.72,88892.8,91332.32,91395.84,92763.36,94769.12,94426.4,93693.92,93005.44,94372.96,96812.48,97108.0,0
287,1,148.0,145.5195530726257,6539.199338347742,80.86531604061003,76.0,211.0,-0.05536720655480298,288,3,139.0,142.8256880733945,7519.483376820134,86.71495474726453,66.0,223.0,0.08129268262760009,13,6,12.0,11.11111111111111,4.098765432098765,2.0245407953653998,11.0,12.0,-1.5975328441873005,0.6477799415588379,0.0075719356536865234,0.1255178451538086,0.16436886928490632,0.014648934439525516,0.12103278249931097,0.07424187660217285,0.231889009475708,1.2058475565059024,179,109,230162,93800,536.0,1670.26,2379.48,3894.78,2254.96,1875.3,1146.44,971.82,4206.08,7440.34,8574.6,11808.86,12899.12,11933.38,15167.64,15242.1,15223.84,14282.42,16691.32,16673.06,17121.2,17747.46,19909.72,22492.02,24949.76,25644.5,28185.24,27593.02,26004.72,25986.46,25924.2,25654.06,27816.32,31050.58,34284.84,37519.1,40753.36,39748.38,41905.88,45140.14,48374.4,48480.66,51714.92,54949.18,54700.56,56421.7,55128.04,55430.22,58664.48,61622.74,61729.0,62067.26,63953.52,67187.78,67526.04,66792.3,69205.44,70608.82,73843.08,76878.66,77139.6,80373.86,80292.12,80630.38,81099.36,82578.9,85813.16,89047.42,92281.68,95515.94,98750.2,101984.46,102633.28,105556.98,108791.24,111705.5,114939.76,117102.02,120336.28,119326.54,122560.8,122212.94,122685.32,125919.58,125862.16,128144.1,127561.64,127223.38,126509.12,124281.14,125356.6,127577.66,130692.08,131902.18,132535.56,133010.7,132499.04,133091.22,136325.48,135271.74,136362.0,0
94,1,56.5,54.0,698.8064516129032,26.43494754322208,35.25,77.25,-0.3290065861407276,88,2,29.5,34.90625,568.3349609375,23.839776864255672,15.5,48.5,0.6134411673868827,17,6,9.0,10.666666666666666,21.555555555555557,4.642796092394707,7.5,13.0,0.49220842833071776,2.5156259536743164,0.024585962295532227,0.2668755054473877,0.4241530221441518,0.23989376467244644,0.489789510578214,0.2284640073776245,0.44346320629119873,3.0162777156677536,62,32,83986,21844,536.0,516.94,574.12,593.18,459.76,-440.7,-650.36,-669.42,-1455.52,-1436.46,-1417.4,-745.66,-351.28,-1404.22,-1385.16,-1366.1,-2419.04,-1844.02,-1863.08,-1882.14,-829.2,223.74,-524.68,185.62,1238.56,2291.5,3344.44,3958.62,3977.68,3996.74,4015.8,4034.86,4302.08,5355.02,6407.96,7460.9,8513.84,9566.78,10619.72,11672.66,12725.6,13778.54,14831.48,15884.42,16937.36,16241.7,15188.76,15852.18,16905.12,17958.06,19011.0,20063.94,21116.88,22169.82,23222.76,24275.7,25328.64,26381.58,27434.52,28487.46,29540.4,30593.34,31646.28,32699.22,33752.16,34278.9,33714.04,34766.98,35819.92,36555.14,35825.8,36549.26,35496.32,34784.62,35837.56,36890.5,37943.44,38996.38,40049.32,41102.26,42155.2,43208.14,44261.08,45314.02,46366.96,47419.9,48472.84,49525.78,50578.72,51631.66,52684.6,53737.54,54790.48,55843.42,56843.64,56877.3,57930.24,58983.18,60036.12,61089.06,62142.0,0
