inCount,outCount,outSize,inSize,el1,el2,el3,el4,el5,el6,el7,el8,el9,el10,el11,el12,el13,el14,el15,el16,el17,el18,el19,el20,el21,el22,el23,el24,el25,el26,el27,el28,el29,el30,el31,el32,el33,el34,el35,el36,el37,el38,el39,el40,el41,el42,el43,el44,el45,el46,el47,el48,el49,el50,el51,el52,el53,el54,el55,el56,el57,el58,el59,el60,el61,el62,el63,el64,el65,el66,el67,el68,el69,el70,el71,el72,el73,el74,el75,el76,el77,el78,el79,el80,el81,el82,el83,el84,el85,el86,el87,el88,el89,el90,el91,el92,el93,el94,el95,el96,el97,el98,el99,el100,label
173,163,78596,181952,-1202.8200000000002,503.6400000000003,1223.539999999999,1290.7199999999993,2974.1000000000004,1966.920000000002,2031.7400000000016,1068.5600000000013,746.619999999999,2710.2000000000007,5051.02,7655.840000000004,10128.660000000003,12601.480000000003,14942.300000000003,15700.879999999997,15636.059999999998,17720.760000000002,20193.58,22798.4,25271.22,27355.96,29012.86,31353.680000000008,31597.499999999993,30196.679999999993,30619.86,30524.960000000006,30502.22,30962.600000000006,31159.42,30983.759999999995,29673.060000000012,29474.119999999995,29897.29999999999,29687.520000000004,28448.34000000001,30158.839999999997,30265.98000000001,31069.199999999997,31731.62000000001,34072.44,31994.73999999999,31941.92,31569.09999999999,30923.72,33528.54000000001,36001.360000000015,38342.18000000001,39611.000000000015,38647.82000000001,38844.640000000014,41449.46000000002,42177.72,41579.100000000006,42979.92000000001,45452.74000000002,47925.56,50530.380000000005,53003.20000000001,53227.97999999998,52235.16,52477.66,54693.51999999999,57159.30000000002,59632.120000000024,62104.94,64577.76000000001,67077.41999999998,67764.59999999998,69852.22,72325.04000000001,74929.86000000002,77270.68000000002,79743.5,81099.68,78626.85999999999,78321.96000000002,77557.22,79831.6,82304.42000000001,84486.75999999998,84354.06000000003,86826.88,89299.70000000001,91904.52000000002,94377.34000000003,96982.16,99454.98000000001,101036.19999999998,102895.37999999998,104233.44,106525.73999999999,105743.08000000002,107011.90000000002,104907.27999999997,104057.54000000001,103226.36000000002,103423.18000000002,103356.0,0
189,170,84418,174086,562.98,680.04,484.9400000000005,2138.08,3381.1000000000004,2392.119999999999,2708.8600000000006,4746.16,2729.1800000000003,3487.7999999999993,2112.779999999999,1941.760000000002,3941.260000000002,5184.279999999999,7631.300000000003,8742.32,11189.339999999997,12432.36,13256.620000000003,12818.400000000001,13798.580000000002,13139.559999999998,12924.54,14794.479999999996,16850.5,16792.520000000004,17028.460000000006,16814.559999999998,19393.58,18812.600000000006,19911.619999999995,22453.36,20834.339999999997,21823.320000000007,22871.699999999997,25318.72,24262.259999999995,22444.759999999995,23687.78,26134.800000000003,28581.819999999992,31160.839999999997,33607.86,33613.119999999995,34194.100000000006,34575.08,33175.94,32726.959999999992,33737.979999999996,33289.0,35736.01999999999,38183.04000000001,40762.06,40181.07999999999,42628.100000000006,45207.119999999995,47654.139999999985,50101.16,50968.17999999999,53415.20000000001,55994.22,58441.23999999999,60888.26000000001,62448.72,62886.29999999999,65333.32000000001,67780.34,70227.35999999999,72354.38,74933.4,77380.42000000001,77756.56,79378.45999999999,81825.48000000001,84272.5,83859.51999999999,82573.45999999999,83022.44,81420.57999999999,82104.4,80729.38,80690.36000000002,79447.34,80583.68,81681.29999999999,82150.28,84124.73999999999,86571.76000000001,85990.78,87985.79999999999,87639.18,87123.84,87162.85999999999,86994.12,86124.9,88703.91999999998,88742.94,88649.95999999999,89575.01999999999,89668.0,0
183,165,75058,169380,368.3600000000001,-442.72000000000025,-730.9200000000001,-1443.4400000000005,-1962.199999999999,-976.1599999999999,-1093.4799999999996,-1327.119999999999,-1743.2400000000016,-1222.3999999999978,1083.9600000000028,2318.3199999999997,4391.32,4360.959999999999,3258.5999999999985,4627.760000000002,5905.879999999997,6251.519999999997,6994.840000000004,8097.200000000004,7144.439999999995,7041.9200000000055,9480.280000000006,8758.64,11065.0,13371.36,15677.720000000001,18116.08,16093.559999999998,17900.800000000003,19536.839999999997,17098.479999999996,19027.880000000005,19754.240000000005,21928.600000000006,24234.960000000006,25469.320000000007,27775.680000000008,27850.040000000008,27867.59999999999,29698.76000000001,32074.87999999999,31415.48000000001,33721.84000000001,36160.20000000001,38466.56000000001,40088.92000000001,41456.72,42425.64,42504.0,44142.36,46448.72,48755.08,51061.44,53499.80000000002,55806.16,58112.52000000002,60418.880000000005,62857.24000000002,65163.600000000006,67105.96000000002,69412.32,71850.68000000002,74025.04000000001,74400.6,76361.76000000001,78668.12,78433.51999999999,77463.16,76360.79999999999,77497.56,78488.07999999999,77426.28,79864.64000000001,80145.0,80378.63999999998,78663.72,80970.08000000002,80199.56,82422.80000000002,84597.16,84996.47999999998,84249.88,84027.75999999998,84881.4,83967.03999999998,84379.32,84753.68000000002,87192.04000000001,89498.40000000002,90600.76000000001,90499.12000000002,89777.48000000001,89672.15999999997,90634.20000000001,90664.56,91857.07999999999,92737.28,92904.35999999999,94322.0,0
174,153,75496,159050,393.1999999999998,575.6000000000004,688.4000000000005,3033.2000000000007,1810.0,2686.800000000001,2696.399999999998,615.5999999999985,810.7999999999993,334.0,761.1999999999971,-908.3999999999978,1436.4000000000015,3649.2000000000044,5170.0,5666.800000000003,7879.600000000006,10224.400000000001,11326.799999999996,10318.0,10777.199999999997,10928.399999999994,10991.599999999999,8910.799999999996,10766.000000000007,12929.199999999997,12915.600000000006,15128.400000000009,17341.20000000001,18350.0,18209.199999999997,17371.600000000006,18467.59999999999,18449.20000000001,18386.0,20730.800000000003,21496.399999999994,21427.59999999999,21789.20000000001,22582.0,22469.199999999997,22803.600000000006,24907.59999999999,25214.79999999999,27298.000000000015,29510.800000000003,31855.600000000006,31040.40000000001,31526.79999999999,30881.999999999985,30005.199999999997,29527.600000000006,31740.40000000001,32506.79999999999,32862.000000000015,35206.80000000002,37419.600000000006,39764.40000000002,41845.20000000001,41826.0,43906.80000000002,46251.600000000006,46188.40000000002,48533.20000000001,50746.0,52958.80000000002,55303.600000000006,57516.40000000002,59861.20000000001,62074.0,64418.80000000002,66499.6,68712.40000000002,71057.20000000001,72066.0,74410.80000000002,75152.4,76296.40000000002,76526.79999999999,75518.0,76565.19999999998,77071.6,79003.59999999998,79221.20000000001,78130.00000000003,79270.80000000002,79251.6,78491.59999999998,78185.20000000001,77413.99999999997,78549.19999999998,76336.4,78328.40000000002,79370.79999999999,79594.00000000003,79985.19999999998,80800.4,82696.40000000002,84777.20000000001,83554.0,0
171,154,75439,153119,341.55999999999995,-345.1199999999999,1464.6800000000003,2599.76,3483.7999999999993,3752.6399999999994,3402.9199999999983,1450.4799999999996,958.0400000000009,829.5999999999985,1622.8400000000001,3024.720000000001,5172.279999999999,6115.84,8263.400000000001,10278.96,12426.519999999997,12034.080000000002,13470.36,12761.199999999997,12787.239999999998,12416.32,11972.120000000003,11028.559999999998,11289.0,11990.559999999998,10961.880000000005,11689.68,11438.759999999995,9640.800000000003,11788.36,13803.919999999998,15951.479999999996,14824.960000000006,16898.59999999999,17393.839999999997,15401.720000000001,15881.279999999999,15132.839999999997,15800.399999999994,15539.959999999992,16440.479999999996,16355.080000000002,18634.64,20782.199999999997,22797.759999999995,25077.319999999992,27224.880000000005,29504.440000000002,28172.0,27848.440000000002,26904.880000000005,25598.679999999993,27746.23999999999,30025.800000000003,29145.36,31424.92,33427.51999999999,32824.04000000001,35103.600000000006,37251.16,37757.28,37646.28,36897.84,39177.399999999994,41324.95999999999,43604.51999999999,45620.07999999999,47899.639999999985,50047.19999999998,52194.76000000001,54342.32000000001,56621.880000000005,58901.44,60641.0,62788.56,61588.119999999995,63867.67999999999,66015.23999999999,68162.79999999999,70442.35999999999,70357.91999999998,72505.47999999998,74653.04000000001,74524.6,74882.16,75693.72,75550.72,75612.84,75616.4,74732.04000000001,76739.51999999999,78887.07999999999,79698.63999999998,79093.80000000002,79309.76000000001,80253.32,79504.88,77551.56,77680.0,0
207,189,76852,180060,1166.46,1326.92,1663.38,3844.16,3100.2999999999993,4200.76,4405.220000000001,4582.32,4506.139999999999,6942.5999999999985,8368.939999999999,10152.48,8920.019999999997,9376.440000000002,8863.099999999999,7894.639999999999,9945.82,12382.279999999999,13505.260000000002,12527.199999999997,13656.339999999997,14860.120000000003,16983.42,17198.96,15253.5,14734.039999999994,16690.42,17658.880000000005,17732.660000000003,17968.199999999997,20020.259999999995,22456.72,25025.180000000008,27197.64,29634.100000000006,30605.440000000002,30268.979999999996,28096.520000000004,28200.059999999998,27044.399999999994,26452.86,26613.320000000007,29049.78,31486.240000000005,34054.7,33160.84,35347.619999999995,37784.08,38884.54000000001,41453.0,40861.46000000001,42889.92000000001,45194.380000000005,44181.16,44807.29999999999,43807.76000000001,45567.78,47332.67999999999,49637.140000000014,50869.600000000006,53438.06,55742.51999999999,58046.98000000001,60483.44,62919.899999999994,65371.639999999985,67924.82,70229.28,70433.73999999999,73002.20000000001,75438.66,78007.12,80443.58000000002,82880.04000000001,84244.5,85476.95999999999,85610.57999999999,85450.12,85250.34,87686.79999999999,90255.26000000001,91604.28,91916.18,94484.64000000001,96921.1,97125.56,96441.98000000001,95346.48000000001,97914.94,99156.6,100247.86000000002,100415.68,98255.22,99833.23999999999,102137.70000000001,102813.84,102326.62,102355.08000000002,103092.45999999999,103208.0,0
230,194,95628,190758,697.1999999999998,3179.6000000000004,3752.4000000000015,3121.2000000000007,2562.0,1549.199999999997,1079.6000000000022,315.59999999999854,2125.2000000000007,4706.0,7305.199999999997,9904.399999999994,12635.599999999999,12694.799999999996,12534.0,11417.199999999997,12812.399999999994,14339.599999999999,13929.200000000004,13062.0,12342.800000000003,11740.399999999994,13135.599999999991,14530.799999999988,17130.0,19729.199999999997,20052.399999999994,18892.40000000001,18730.79999999999,21594.0,21902.800000000003,21403.600000000006,21080.40000000001,19553.20000000001,19230.0,16733.199999999997,18260.399999999994,20859.59999999999,23590.79999999999,23782.0,25441.199999999997,25383.600000000006,25235.59999999999,24429.20000000001,25293.999999999985,27034.800000000017,27452.399999999994,30183.599999999977,32914.79999999999,35778.0,37173.19999999998,36876.399999999994,36711.59999999998,36429.20000000001,37026.0,35657.19999999998,37151.600000000006,37151.59999999998,39882.79999999999,42614.0,43998.80000000002,46496.399999999994,49227.59999999998,51826.79999999999,54426.0,57157.19999999998,58816.399999999994,61547.59999999998,62046.79999999999,64778.0,66305.19999999998,68263.6,69623.59999999998,71150.79999999999,73882.0,76613.19999999998,79476.4,81003.59999999998,83734.79999999999,86466.0,86098.80000000002,85775.6,86072.40000000002,86054.79999999999,88653.99999999997,91253.19999999998,94116.4,95511.59999999998,95101.20000000001,95085.99999999997,94322.80000000002,93999.60000000003,92472.40000000002,92838.79999999999,91650.0,91693.19999999995,94424.39999999997,95512.40000000002,94806.79999999999,95130.0,0
195,176,85306,183668,-1949.7199999999998,-2018.5600000000004,533.1599999999999,-219.1200000000008,1003.4000000000015,-1272.3199999999997,-2519.9600000000028,-2508.2400000000016,-3847.4799999999996,-4908.800000000003,-2489.0800000000017,-69.36000000000058,2350.3600000000006,4902.0799999999945,6117.799999999996,7894.480000000003,7618.760000000002,7752.959999999999,7176.679999999993,6248.399999999994,5707.880000000005,5432.1600000000035,7295.559999999998,6719.279999999999,8067.0,10665.279999999999,11966.439999999988,11490.159999999989,13909.87999999999,16461.59999999999,16197.319999999992,16670.960000000006,17731.240000000005,16251.520000000004,16096.199999999997,17656.08,16452.36,15143.359999999986,17827.079999999987,20378.79999999999,22930.51999999999,25482.23999999999,28033.959999999992,29062.320000000007,27733.399999999994,30285.119999999995,31907.160000000003,32968.56,35520.28,38072.0,40755.72,42072.56,43715.16,45657.120000000024,45922.59999999998,48474.31999999998,51026.03999999998,53577.75999999998,56261.47999999998,56330.80000000002,55652.919999999984,56531.360000000015,55220.359999999986,57496.07999999999,57815.79999999999,60499.51999999999,63051.23999999999,65470.95999999999,68154.68,70574.4,73258.12,72781.84,75465.56,75382.72,76900.99999999997,79320.71999999997,80404.43999999997,79331.84000000003,79131.87999999998,81319.59999999998,82667.31999999998,85087.03999999998,86434.75999999998,88986.47999999998,89825.80000000002,88201.91999999998,87790.36000000002,89702.64000000001,88057.07999999999,90608.79999999999,92203.48000000001,92940.23999999999,94287.95999999999,95503.68,95232.6,94895.12,94186.83999999997,95553.44,98218.27999999997,98362.0,0
238,211,107726,245870,1635.9400000000005,2646.12,3659.8199999999997,2722.24,1996.2999999999993,1545.6399999999994,203.58000000000175,3469.5200000000004,6603.459999999999,7782.5999999999985,11167.340000000004,12157.279999999999,12163.220000000001,14357.160000000003,16548.9,15558.96,14110.980000000003,16172.919999999998,15470.86,15840.800000000003,17641.259999999995,18560.680000000008,22090.619999999995,24152.559999999998,24522.5,27512.440000000002,27474.380000000005,26619.679999999993,26833.740000000005,25843.800000000003,26821.86,26124.08,29522.020000000004,32919.96000000001,36449.90000000001,39847.84,40342.22,41739.72,43933.66,47331.600000000006,50366.45999999999,50867.48000000001,54265.42000000001,56408.639999999985,55669.29999999999,56508.76000000001,55042.82000000001,57611.119999999995,60469.06,60905.0,61108.94,62894.880000000005,66292.82,66794.76000000001,67164.70000000001,69490.64000000001,70236.58000000002,73634.51999999999,77032.45999999999,77534.4,80260.34,80701.72,80448.22,81470.16,82724.1,86122.04000000001,89519.98000000001,92917.92000000001,96315.86000000002,99845.80000000002,103243.73999999999,103613.68,107011.62,110541.56,113487.5,117017.44,119079.38,122490.68,121367.26000000001,123230.79999999999,122352.85999999999,124821.08000000002,128087.02000000002,126712.96000000002,129369.09999999998,128203.15999999997,127701.21999999997,126955.27999999997,125434.66000000003,126732.59999999998,130130.53999999998,132192.47999999998,134518.41999999998,134172.36,134898.3,134011.76,134910.18,138023.88,137033.94,138144.0,0
89,82,27256,89860,99.5,939.0,905.5,332.0,365.5,-673.0,-696.5,-862.0,-1380.5,-1215.0,-1226.5,-1392.0,-353.5,-993.0,-1448.5,-1614.0,-1700.5,-2709.0,-1809.5,-1644.0,-1737.5,-567.0,148.5,-502.0,668.5,1707.0,2745.5,3784.0,3665.5,3831.0,3996.5,4162.0,4195.5,4127.0,5165.5,6336.0,7281.5,8413.0,9451.5,10490.0,11660.5,12699.0,13869.5,15040.0,16078.5,17117.0,16208.5,15170.0,15988.5,17159.0,18329.5,19368.0,20538.5,21577.0,22747.5,23918.0,25088.5,26259.0,27429.5,28468.0,29638.5,30677.0,31847.5,33018.0,34188.5,34517.0,33989.5,35160.0,36330.5,36719.0,36175.5,36610.0,35439.5,35091.0,36129.5,37300.0,38338.5,39509.0,40679.5,41850.0,42756.5,43927.0,45097.5,46268.0,47306.5,48477.0,49647.5,50686.0,51856.5,52895.0,54065.5,55236.0,56406.5,57087.0,57411.5,58582.0,59620.5,60659.0,61697.5,62604.0,0
