max_in_o,min_in_o,mean_in_o,median_in_o,std_in_o,var_in_o,fquan_in_o,lquan_in_o,skew_in_o,max_out_o,min_out_o,mean_out_o,median_out_o,std_out_o,var_out_o,fquan_out_o,lquan_out_o,skew_out_o,max_O_conc,min_O_conc,mean_O_conc,median_O_conc,std_O_conc,var_O_conc,fquan_O_conc,lauqn_O_conc,skew_O_conc,max_B,min_B,mean_B,median_B,std_B,var_B,fquan_B,lquan_B,skew_B,inCount,outCount,inSize,outSize,el1,el2,el3,el4,el5,el6,el7,el8,el9,el10,el11,el12,el13,el14,el15,el16,el17,el18,el19,el20,el21,el22,el23,el24,el25,el26,el27,el28,el29,el30,el31,el32,el33,el34,el35,el36,el37,el38,el39,el40,el41,el42,el43,el44,el45,el46,el47,el48,el49,el50,el51,el52,el53,el54,el55,el56,el57,el58,el59,el60,el61,el62,el63,el64,el65,el66,el67,el68,el69,el70,el71,el72,el73,el74,el75,el76,el77,el78,el79,el80,el81,el82,el83,el84,el85,el86,el87,el88,el89,el90,el91,el92,el93,el94,el95,el96,el97,el98,el99,el100,el101,label
149,2,78.0,76.34736842105264,1582.0793351800555,39.77536090571719,41.5,108.0,-0.0776182778429855,150,1,67.0,74.03636363636363,2377.344132231405,48.758016081782955,27.0,123.5,0.10292593565456264,16,5,10.0,11.0,19.2,4.381780460041329,8.0,16.0,0.014263608268363702,0.7617590427398682,0.0129241943359375,0.13220298290252686,0.20254267851511637,0.03541766508016313,0.18819581578813893,0.09721148014068604,0.2203626036643982,1.8521121196589467,95,55,114414,34642,-536.0,-122.8,-290.4,-368.4,-44.8,-458.0,-200.8,-212.4,-446.4,-1038.8,-1452.0,-1306.8,-893.6,591.6,2076.8,3562.0,5047.2,6532.4,8017.6,9502.8,10988.0,12473.2,13958.4,14588.4,13756.8,13762.0,13511.2,13924.4,13594.4,14794.8,16280.0,17765.2,19250.4,19663.6,19004.8,19102.0,18759.2,20244.4,21729.6,23214.8,24700.0,26185.2,27670.4,29155.6,30640.8,31010.0,30828.8,30415.6,30002.4,30694.8,32180.0,33665.2,35150.4,36635.6,38120.8,39606.0,41091.2,42576.4,44061.6,45546.8,47032.0,48342.8,47106.4,48591.6,50076.8,51286.0,52771.2,54256.4,55741.6,57226.8,58712.0,60197.2,61682.4,62408.4,62552.8,64038.0,65523.2,67008.4,68478.4,68906.8,70392.0,71877.2,73362.4,74847.6,76147.2,74662.0,75320.8,75428.4,74769.6,76254.8,77740.0,78153.2,78566.4,77907.6,78183.2,78734.0,78428.8,79043.6,77873.6,79358.8,79772.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
92,1,46.5,46.5,705.25,26.556543449779003,23.75,69.25,0.0,0,0,nan,nan,nan,nan,0,0,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0,nan,nan,nan,nan,0,0,nan,92,0,96226,0,536.0,1492.9,2449.8,3406.7,4363.6,5320.5,6277.4,7234.3,8191.2,9148.1,10105.0,11061.9,12018.8,12975.7,13932.6,14889.5,15846.4,16803.3,17760.2,18717.1,19674.0,20630.9,21587.8,22544.7,23501.6,24458.5,25415.4,26372.3,27329.2,28286.1,29243.0,30199.9,31156.8,32113.7,33070.6,34027.5,34984.4,35941.3,36898.2,37855.1,38812.0,39768.9,40725.8,41682.7,42639.6,43596.5,44553.4,45510.3,46467.2,47424.1,48381.0,49337.9,50294.8,51251.7,52208.6,53165.5,54122.4,55079.3,56036.2,56993.1,57950.0,58906.9,59863.8,60820.7,61777.6,62734.5,63691.4,64648.3,65605.2,66562.1,67519.0,68475.9,69432.8,70389.7,71346.6,72303.5,73260.4,74217.3,75174.2,76131.1,77088.0,78044.9,79001.8,79958.7,80915.6,81872.5,82829.4,83786.3,84743.2,85700.1,86657.0,87613.9,88570.8,89527.7,90484.6,91441.5,92398.4,93355.3,94312.2,95269.1,96226.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
95,2,53.0,52.09411764705882,677.1205536332178,26.02154018564654,32.0,74.0,-0.16948320906669687,96,1,14.0,20.727272727272727,598.3801652892563,24.461810343661327,11.0,19.0,2.5672523216742698,10,0,0.0,3.3333333333333335,22.222222222222218,4.714045207910316,0.0,5.0,0.7071067811865474,1.8751418590545654,0.045996904373168945,0.1871730089187622,0.3753703236579895,0.22453145923134463,0.4738475063048709,0.14169561862945557,0.42390739917755127,2.564872018093662,85,11,89172,9516,-536.0,445.52,1427.04,2408.56,2721.92,3299.6,4206.88,4190.64,4343.84,3362.32,2380.8,1399.28,417.76,-563.76,-466.72,-382.8,-292.32,-201.84,243.36,1224.88,2206.4,3187.92,4169.44,5150.96,6132.48,7114.0,8095.52,9077.04,10058.56,11040.08,12021.6,13003.12,13984.64,14966.16,15947.68,16929.2,17910.72,18892.24,19873.76,20855.28,21836.8,22818.32,23799.84,24781.36,25762.88,26744.4,27725.92,28707.44,29688.96,30670.48,31652.0,32633.52,33615.04,34596.56,35578.08,36559.6,37541.12,38522.64,39504.16,40485.68,41467.2,42448.72,43430.24,44411.76,45393.28,46374.8,47356.32,48337.84,49319.36,50300.88,51282.4,52263.92,53245.44,54226.96,55208.48,56190.0,57171.52,58153.04,59134.56,60116.08,61097.6,62079.12,63060.64,64042.16,65023.68,66005.2,66986.72,67968.24,68949.76,69931.28,70912.8,71894.32,72875.84,73857.36,74838.88,75820.4,76801.92,77783.44,78764.96,79746.48,79656.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
82,7,50.5,48.19642857142857,482.58641581632656,21.96784959472198,31.5,67.25,-0.22515718140357444,75,1,24.0,27.076923076923077,422.9171597633136,20.564949787522302,8.25,41.75,0.5648831933793891,16,7,11.5,11.5,20.25,4.5,9.25,13.75,0.0,4.348542928695679,0.03162217140197754,0.17661023139953613,0.368045239612974,0.5918118311456307,0.7692930723369545,0.11321496963500977,0.3412158489227295,4.756770785178625,56,26,76482,17534,-536.0,-1470.8,-2405.6,-3340.4,-3203.2,-4138.0,-4000.8,-4580.4,-3645.6,-2710.8,-1776.0,-841.2,93.6,1028.4,1963.2,1214.0,1351.2,1488.4,1414.4,1277.2,1900.0,1002.8,1102.4,1800.4,2735.2,3670.0,4604.8,5539.6,6474.4,7409.2,8344.0,9278.8,10213.6,11148.4,11604.8,11946.0,12880.8,13815.6,13093.6,12158.8,12296.0,12238.8,11498.4,12008.4,12943.2,13878.0,14812.8,15747.6,16682.4,17617.2,18552.0,19013.2,18321.6,19256.4,20191.2,21126.0,22060.8,22995.6,23930.4,24865.2,25800.0,26734.8,27669.6,28604.4,29539.2,30474.0,31408.8,32343.6,33278.4,32870.8,31976.0,32910.8,33845.6,34780.4,35715.2,36650.0,37584.8,38519.6,39454.4,40389.2,41324.0,42258.8,43193.6,44128.4,45063.2,45998.0,46932.8,47867.6,48357.6,48665.2,49600.0,50534.8,51469.6,52404.4,53339.2,54274.0,55208.8,56143.6,57078.4,58013.2,58948.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
103,1,64.0,58.333333333333336,821.8412698412699,28.667774064989242,33.5,83.0,-0.2649899789887729,104,2,40.0,43.53658536585366,890.6389054134444,29.843573938344655,16.0,61.0,0.44614351319290607,16,7,14.0,12.333333333333334,14.888888888888888,3.858612300930075,10.5,15.0,-0.5673165779937296,4.3413779735565186,0.02993607521057129,0.23598980903625488,0.45590961233098454,0.4867869716343219,0.6977012051260352,0.14295947551727295,0.46474897861480713,4.060108638941672,63,41,82262,26479,23.0,852.18,1638.64,551.46,-535.72,-1622.9,-2479.92,-2464.74,-2740.44,-3462.38,-2375.2,-1288.02,-200.84,886.34,1568.48,1988.7,3075.88,3334.94,2247.76,2232.58,3040.6,2202.22,2187.04,2171.86,2156.68,2141.5,1054.32,906.86,1994.04,3081.22,4168.4,5255.58,6342.76,7429.94,8517.12,9604.3,10691.48,11778.66,12865.84,13912.98,12825.8,11738.62,11723.44,10885.74,10621.08,10605.9,10590.72,10946.46,12033.64,13120.82,14208.0,15295.18,16382.36,17469.54,18556.72,19643.9,20731.08,21818.26,22905.44,23992.62,25079.8,25763.02,26182.16,27269.34,28356.52,29443.7,30530.88,31618.06,32705.24,33792.42,32922.4,32299.22,32057.96,31885.14,32972.32,34059.5,35146.68,36233.86,37321.04,38408.22,39495.4,40582.58,41669.76,42756.94,43844.12,44931.3,46018.48,47105.66,48192.84,49280.02,50367.2,50999.62,51469.56,52556.74,53643.92,54731.1,55818.28,56905.46,56885.36,55798.18,55783.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
89,1,45.0,45.0,660.0,25.69046515733026,23.0,67.0,0.0,0,0,nan,nan,nan,nan,0,0,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0,nan,nan,nan,nan,0,0,nan,89,0,100026,0,536.0,1530.9,2525.8,3520.7,4515.6,5510.5,6505.4,7500.3,8495.2,9490.1,10485.0,11479.9,12474.8,13469.7,14464.6,15459.5,16454.4,17449.3,18444.2,19439.1,20434.0,21428.9,22423.8,23418.7,24413.6,25408.5,26403.4,27398.3,28393.2,29388.1,30383.0,31377.9,32372.8,33367.7,34362.6,35357.5,36352.4,37347.3,38342.2,39337.1,40332.0,41326.9,42321.8,43316.7,44311.6,45306.5,46301.4,47296.3,48291.2,49286.1,50281.0,51275.9,52270.8,53265.7,54260.6,55255.5,56250.4,57245.3,58240.2,59235.1,60230.0,61224.9,62219.8,63214.7,64209.6,65204.5,66199.4,67194.3,68189.2,69184.1,70179.0,71173.9,72168.8,73163.7,74158.6,75153.5,76148.4,77143.3,78138.2,79133.1,80128.0,81122.9,82117.8,83112.7,84107.6,85102.5,86097.4,87092.3,88087.2,89082.1,90077.0,91071.9,92066.8,93061.7,94056.6,95051.5,96046.4,97041.3,98036.2,99031.1,100026.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
79,1,40.0,40.0,520.0,22.80350850198276,20.5,59.5,0.0,0,0,nan,nan,nan,nan,0,0,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0,nan,nan,nan,nan,0,0,nan,79,0,93054,0,536.0,1461.18,2386.36,3311.54,4236.72,5161.9,6087.08,7012.26,7937.44,8862.62,9787.8,10712.98,11638.16,12563.34,13488.52,14413.7,15338.88,16264.06,17189.24,18114.42,19039.6,19964.78,20889.96,21815.14,22740.32,23665.5,24590.68,25515.86,26441.04,27366.22,28291.4,29216.58,30141.76,31066.94,31992.12,32917.3,33842.48,34767.66,35692.84,36618.02,37543.2,38468.38,39393.56,40318.74,41243.92,42169.1,43094.28,44019.46,44944.64,45869.82,46795.0,47720.18,48645.36,49570.54,50495.72,51420.9,52346.08,53271.26,54196.44,55121.62,56046.8,56971.98,57897.16,58822.34,59747.52,60672.7,61597.88,62523.06,63448.24,64373.42,65298.6,66223.78,67148.96,68074.14,68999.32,69924.5,70849.68,71774.86,72700.04,73625.22,74550.4,75475.58,76400.76,77325.94,78251.12,79176.3,80101.48,81026.66,81951.84,82877.02,83802.2,84727.38,85652.56,86577.74,87502.92,88428.1,89353.28,90278.46,91203.64,92128.82,93054.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
100,1,50.5,50.5,833.25,28.86607004772212,25.75,75.25,0.0,0,0,nan,nan,nan,nan,0,0,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0,nan,nan,nan,nan,0,0,nan,100,0,102873,0,536.0,1559.37,2582.74,3606.11,4629.48,5652.85,6676.22,7699.59,8722.96,9746.33,10769.7,11793.07,12816.44,13839.81,14863.18,15886.55,16909.92,17933.29,18956.66,19980.03,21003.4,22026.77,23050.14,24073.51,25096.88,26120.25,27143.62,28166.99,29190.36,30213.73,31237.1,32260.47,33283.84,34307.21,35330.58,36353.95,37377.32,38400.69,39424.06,40447.43,41470.8,42494.17,43517.54,44540.91,45564.28,46587.65,47611.02,48634.39,49657.76,50681.13,51704.5,52727.87,53751.24,54774.61,55797.98,56821.35,57844.72,58868.09,59891.46,60914.83,61938.2,62961.57,63984.94,65008.31,66031.68,67055.05,68078.42,69101.79,70125.16,71148.53,72171.9,73195.27,74218.64,75242.01,76265.38,77288.75,78312.12,79335.49,80358.86,81382.23,82405.6,83428.97,84452.34,85475.71,86499.08,87522.45,88545.82,89569.19,90592.56,91615.93,92639.3,93662.67,94686.04,95709.41,96732.78,97756.15,98779.52,99802.89,100826.26,101849.63,102873.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
94,1,47.5,47.5,736.25,27.13392710243027,24.25,70.75,0.0,0,0,nan,nan,nan,nan,0,0,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0,nan,nan,nan,nan,0,0,nan,94,0,97944,0,536.0,1510.08,2484.16,3458.24,4432.32,5406.4,6380.48,7354.56,8328.64,9302.72,10276.8,11250.88,12224.96,13199.04,14173.12,15147.2,16121.28,17095.36,18069.44,19043.52,20017.6,20991.68,21965.76,22939.84,23913.92,24888.0,25862.08,26836.16,27810.24,28784.32,29758.4,30732.48,31706.56,32680.64,33654.72,34628.8,35602.88,36576.96,37551.04,38525.12,39499.2,40473.28,41447.36,42421.44,43395.52,44369.6,45343.68,46317.76,47291.84,48265.92,49240.0,50214.08,51188.16,52162.24,53136.32,54110.4,55084.48,56058.56,57032.64,58006.72,58980.8,59954.88,60928.96,61903.04,62877.12,63851.2,64825.28,65799.36,66773.44,67747.52,68721.6,69695.68,70669.76,71643.84,72617.92,73592.0,74566.08,75540.16,76514.24,77488.32,78462.4,79436.48,80410.56,81384.64,82358.72,83332.8,84306.88,85280.96,86255.04,87229.12,88203.2,89177.28,90151.36,91125.44,92099.52,93073.6,94047.68,95021.76,95995.84,96969.92,97944.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
83,2,24.0,30.73076923076923,464.3505917159764,21.54879559780491,16.25,44.5,0.7657289008696331,82,1,51.0,47.14035087719298,539.664512157587,23.230680406686044,31.0,67.0,-0.33018106806714087,22,14,18.0,18.0,16.0,4.0,16.0,20.0,0.0,3.9598798751831055,0.008002996444702148,0.22473907470703125,0.42216441549103834,0.4913129366099641,0.7009371844965596,0.12038612365722656,0.5290989875793457,4.400066939931119,26,57,17534,74984,-536.0,383.82,796.36,79.46,999.28,1919.1,1317.08,397.26,-522.56,-1442.38,-2362.2,-3282.02,-4201.84,-4482.34,-3562.52,-2642.7,-1722.88,-1875.06,-1144.76,-1107.42,-1259.6,-1411.78,-1608.04,-2527.86,-3447.68,-4367.5,-5287.32,-6207.14,-7126.96,-8046.78,-8966.6,-9886.42,-10806.24,-11726.06,-12645.88,-13565.7,-14374.48,-13686.66,-12766.84,-11928.98,-11999.2,-11668.62,-11231.56,-11383.74,-10463.92,-11147.9,-12067.72,-12987.54,-13907.36,-14827.18,-15747.0,-16666.82,-17586.64,-18506.46,-19426.28,-20346.1,-20193.92,-21113.74,-22033.56,-22953.38,-23873.2,-23874.98,-24640.84,-25560.66,-26480.48,-27400.3,-28320.12,-29239.94,-30159.76,-31079.58,-31999.4,-32919.22,-33839.04,-34758.86,-35678.68,-36598.5,-37518.32,-38438.14,-39357.96,-40277.78,-41197.6,-42117.42,-43037.24,-43957.06,-44876.88,-45796.7,-46716.52,-47636.34,-48556.16,-49475.98,-49416.2,-50243.62,-51163.44,-52083.26,-53003.08,-53922.9,-54842.72,-55762.54,-56682.36,-57602.18,-57450.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
