inCount,outCount,outSize,inSize,el1,el2,el3,el4,el5,el6,el7,el8,el9,el10,el11,el12,el13,el14,el15,el16,el17,el18,el19,el20,el21,el22,el23,el24,el25,el26,el27,el28,el29,el30,el31,el32,el33,el34,el35,el36,el37,el38,el39,el40,el41,el42,el43,el44,el45,el46,el47,el48,el49,el50,el51,el52,el53,el54,el55,el56,el57,el58,el59,el60,el61,el62,el63,el64,el65,el66,el67,el68,el69,el70,el71,el72,el73,el74,el75,el76,el77,el78,el79,el80,el81,el82,el83,el84,el85,el86,el87,el88,el89,el90,el91,el92,el93,el94,el95,el96,el97,el98,el99,el100,label
167,133,53582,160446,-1007.7399999999998,1126.5200000000004,2099.2199999999993,2372.959999999999,2581.300000000001,2964.4399999999987,3370.1799999999985,2571.9199999999983,2470.340000000004,2064.600000000002,4198.860000000001,6201.120000000003,8335.380000000005,8406.359999999997,10063.900000000001,12198.160000000003,14200.420000000006,16202.680000000008,18204.940000000002,16859.200000000004,17102.539999999994,17508.28,17153.980000000003,17952.240000000005,17810.500000000007,19812.76000000001,21815.020000000004,21750.719999999994,23052.459999999992,23137.800000000003,22732.060000000012,22634.320000000007,23564.58,25566.84000000001,26497.100000000006,26672.639999999985,25817.62000000001,26280.119999999995,26342.140000000014,26019.59999999999,25221.339999999997,26812.920000000013,28815.180000000008,30817.440000000002,32951.70000000001,35085.96000000001,37088.220000000016,39090.48000000001,41224.740000000005,40819.000000000015,39914.73999999999,39243.52000000002,41377.78000000001,43380.04000000001,45250.30000000002,45395.43999999999,45774.82000000001,47909.080000000016,48707.34000000001,48502.399999999994,48600.139999999985,48826.120000000024,50960.380000000005,52962.640000000014,54964.90000000002,57099.16,59101.42000000001,61103.68000000002,60829.94,60287.79999999999,59621.53999999998,61168.72000000003,63170.98000000001,65173.24000000002,67307.50000000003,69309.76000000001,71444.02000000002,73249.71999999997,74376.54000000001,76378.80000000002,78513.06000000003,80515.32,81530.41999999998,81215.84000000003,83350.1,85352.36000000002,87486.62000000002,89488.88,91623.14000000001,93625.40000000002,95627.66000000003,94458.07999999999,95459.81999999998,97126.44000000003,99128.70000000001,101169.03999999998,103265.22000000003,105267.48000000001,107269.74000000002,106864.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
204,121,124182,86992,-3610.6,-4160.8,-3268.2000000000007,-4199.6,-2467.0,-1574.4000000000015,-406.1999999999989,-1166.7999999999993,-144.60000000000218,748.0,1323.4000000000015,-509.1999999999971,-2605.7999999999993,-3498.399999999998,-5595.0,-7559.5999999999985,-9524.199999999997,-10416.799999999996,-12381.400000000001,-12202.0,-12857.400000000001,-13723.199999999997,-13260.200000000004,-11368.399999999994,-10403.0,-9453.599999999999,-9865.800000000003,-10797.200000000004,-8700.600000000006,-7056.0,-4959.399999999994,-2994.800000000003,-4701.800000000003,-6666.399999999994,-5683.0,-4652.400000000009,-3759.800000000003,-1944.800000000003,-1058.6000000000058,-298.0,721.4000000000087,2427.199999999997,3319.800000000003,5284.399999999994,6045.0,7710.400000000009,8638.199999999997,9625.200000000012,9892.600000000006,10156.0,12252.599999999991,14349.199999999997,16181.799999999988,17074.399999999994,15417.0,13631.599999999991,15596.199999999997,15279.200000000012,15017.399999999994,14698.0,14526.599999999991,16491.20000000001,17628.20000000001,15531.600000000006,13699.0,11602.399999999994,9769.800000000017,7673.200000000012,7044.600000000006,6288.0,7623.399999999994,7758.8000000000175,7894.200000000012,5797.600000000006,3833.0,1736.3999999999942,-228.19999999998254,-2192.7999999999884,-3462.600000000006,-4154.0,-4914.600000000006,-7011.1999999999825,-8975.799999999988,-10940.399999999994,-13037.0,-15001.600000000006,-17098.199999999983,-19062.79999999999,-21159.399999999994,-23256.0,-25088.600000000006,-27185.199999999983,-29281.79999999999,-31246.399999999994,-33343.0,-34235.59999999998,-36200.19999999998,-38164.79999999999,-39154.600000000006,-37190.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
175,48,37370,124282,-327.5,-79.0,221.5,-1068.0,-2678.5,-2583.0,-3336.5,-3766.0,-3551.5,-3419.0,-3942.5,-2408.0,-2582.5,-2989.0,-4599.5,-6078.0,-7688.5,-9167.0,-9222.5,-9844.0,-8365.5,-8091.0,-7323.5,-7102.0,-5623.5,-6943.0,-7217.5,-8828.0,-9945.5,-8335.0,-7928.5,-7522.0,-5911.5,-4433.0,-3657.5,-2416.0,-937.5,673.0,2283.5,3894.0,5504.5,4921.0,3310.5,2700.0,4310.5,4717.0,4356.5,3950.0,4908.5,6519.0,8129.5,9740.0,11350.5,12961.0,14571.5,16182.0,17792.5,19403.0,21013.5,22624.0,24234.5,25845.0,27455.5,29066.0,30676.5,32287.0,33897.5,35508.0,37118.5,38729.0,40339.5,41950.0,43560.5,45171.0,46781.5,48392.0,50002.5,51613.0,53223.5,54834.0,56444.5,58055.0,59665.5,61276.0,62886.5,64497.0,66107.5,67718.0,69328.5,70939.0,72549.5,74160.0,75770.5,77381.0,78991.5,80602.0,82212.5,83823.0,85433.5,86912.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
250,113,109272,137976,-660.46,-894.9200000000001,-3361.38,-3287.84,-4418.299999999999,-2307.24,-1176.7799999999988,1157.6800000000003,2420.1399999999994,4754.5999999999985,7221.060000000001,8108.48,8673.98,11140.440000000002,11242.900000000001,13709.36,16043.82,18510.28,18744.739999999998,21211.199999999997,23677.660000000003,26012.120000000003,28345.42,28581.04,28771.5,30314.04,27979.58,25750.880000000005,25245.339999999997,26243.800000000003,27374.259999999995,29375.28,26908.819999999992,24706.36,22503.899999999994,21373.440000000002,19170.979999999996,18040.520000000004,15706.059999999998,13239.600000000006,10905.14,8953.320000000007,10171.779999999999,12506.240000000005,14840.699999999997,17307.160000000003,18454.380000000005,20508.08,22974.540000000008,25175.0,26703.460000000006,28773.92,27839.619999999995,25505.160000000003,23038.70000000001,20704.23999999999,18501.78,16167.320000000007,13964.859999999986,12834.399999999994,10424.059999999998,8165.4800000000105,7167.0199999999895,4832.559999999998,2630.100000000006,295.63999999998487,61.179999999993015,-2405.279999999999,-2507.7399999999907,-4973.799999999988,-7308.6600000000035,-7964.880000000005,-8233.580000000016,-10568.040000000008,-9141.5,-10464.959999999992,-9656.579999999987,-7190.119999999995,-7983.6600000000035,-5517.200000000012,-3050.7399999999907,-584.2799999999988,1882.179999999993,4348.640000000014,6815.100000000006,9281.559999999998,10287.98000000001,11806.48000000001,12936.940000000002,15403.399999999994,17869.860000000015,19000.320000000007,20262.78,21393.23999999999,22523.70000000001,24990.160000000003,26252.619999999995,27396.919999999984,27470.459999999992,28704.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
117,110,109544,47078,-427.55999999999995,-789.1199999999999,-122.68000000000029,-1688.2399999999998,-3253.7999999999993,-2316.6399999999994,-3115.08,-4074.4799999999996,-3419.960000000001,-2257.5999999999985,-1756.8400000000001,-1527.2799999999988,38.279999999998836,-1339.8400000000001,-1437.3999999999978,-213.04000000000087,1352.5200000000004,2918.079999999998,4351.639999999999,4713.199999999997,4046.760000000002,4679.68,4318.120000000003,3956.5599999999977,4333.0,3057.4400000000023,2827.8800000000047,3273.6800000000003,1928.760000000002,363.20000000000437,334.3600000000006,-139.91999999999825,-1705.479999999996,-3139.040000000001,-3315.4000000000015,-1881.8400000000038,-3019.720000000001,-2318.720000000001,-2582.8399999999965,-2944.399999999994,-3014.040000000001,-3535.520000000004,-4969.080000000002,-6534.639999999999,-6087.800000000003,-5726.240000000005,-5491.319999999992,-5267.119999999995,-5010.440000000002,-5704.0,-6937.559999999998,-8503.119999999995,-9936.679999999993,-11502.23999999999,-12935.800000000003,-14501.36,-15934.919999999998,-16032.479999999996,-17461.960000000006,-16755.59999999999,-15957.160000000003,-15625.279999999999,-15395.720000000001,-15166.160000000003,-15391.399999999994,-16956.959999999992,-18390.51999999999,-19956.08,-21389.64,-22955.199999999997,-24388.759999999995,-25954.319999999992,-27387.87999999999,-28953.440000000002,-29183.0,-30748.559999999998,-32245.880000000005,-33708.32000000001,-35181.23999999999,-36633.20000000001,-38180.36,-39613.92,-41179.479999999996,-42613.04000000001,-44178.600000000006,-45612.16,-47045.72,-48479.28,-49912.84,-51478.399999999994,-52911.95999999999,-53273.51999999999,-54839.07999999999,-56404.639999999985,-57838.19999999998,-59271.76000000001,-60837.32000000001,-62402.880000000005,-63572.44,-62466.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
221,54,30886,145388,49.279999999999745,239.4400000000005,147.84000000000015,623.1199999999999,-1133.6000000000004,-2890.3199999999997,-2107.040000000001,-2527.76,-3835.5200000000004,-2210.7999999999993,-1658.079999999998,-33.36000000000058,1723.3600000000006,2276.0800000000017,4032.7999999999993,5789.52,7414.240000000002,6938.959999999999,6544.32,8088.4000000000015,8509.120000000003,8033.840000000004,9658.559999999998,9183.279999999999,10808.0,12564.720000000001,13117.440000000002,14874.160000000003,16557.120000000003,18255.6,20012.32,18810.96,17186.239999999998,17778.480000000003,17668.799999999996,17547.92,17836.64,19593.36,20146.08,20698.800000000003,22455.520000000004,24212.240000000005,25968.960000000006,27725.680000000008,29482.399999999994,31239.119999999995,32995.84,34752.56,36509.28,38266.0,40022.72,41779.44,43536.16,45292.880000000005,47049.600000000006,48806.32000000001,50563.04000000001,52319.759999999995,54076.479999999996,55833.2,57589.92,59346.64,61103.36,62860.08,64616.8,66373.52,68130.24,69754.96,71511.68000000001,73268.40000000001,75025.12,76781.84,76185.44,74560.72,74548.0,76304.72,78061.44,79818.16,81574.88,83331.6,84824.32,86581.04000000001,88337.76000000001,90094.48000000001,91851.20000000001,93607.92000000001,95364.64000000001,97121.36000000002,98878.08000000002,100634.79999999999,102391.51999999999,104016.23999999999,105772.95999999999,107529.68,109286.4,110840.88,110567.84,112192.56,112745.28,114502.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
129,114,40492,118794,-322.20000000000005,-493.5999999999999,-966.6000000000004,458.8000000000002,2051.0,2024.7999999999993,2664.6000000000004,2819.6000000000004,3180.199999999999,1852.0,2667.7999999999993,1207.5999999999985,1891.3999999999978,563.2000000000007,2057.0,2313.2000000000007,3773.4000000000015,5233.600000000002,5489.799999999999,6950.0,8542.200000000004,8798.400000000001,9054.599999999999,8913.199999999997,9567.0,11159.200000000004,12751.400000000001,12720.400000000001,12332.199999999997,11944.0,12880.200000000004,14340.400000000001,15875.400000000001,14547.199999999997,14345.0,14601.200000000004,13653.400000000001,15113.599999999999,13898.199999999997,13642.0,13385.799999999996,14346.400000000009,15806.600000000006,17398.800000000003,18859.0,20451.199999999997,19940.59999999999,19684.399999999994,20015.800000000003,20272.0,20528.199999999997,22120.40000000001,23712.600000000006,25040.800000000003,26501.0,27961.199999999997,29421.40000000001,30881.600000000006,32341.800000000003,32598.0,31217.800000000003,31225.59999999999,30634.600000000006,29994.800000000003,31587.0,33047.2,34639.40000000001,36099.600000000006,37496.2,37052.0,38644.2,40104.40000000001,41696.600000000006,43156.8,43281.0,44873.2,46333.40000000001,47793.600000000006,49253.8,50846.0,52438.2,54030.40000000001,55622.600000000006,57214.80000000002,58411.0,60003.20000000001,61463.399999999994,62923.600000000006,64383.80000000002,65844.0,67304.20000000001,68719.6,69152.6,70744.80000000002,72337.0,73797.20000000001,75389.4,76849.6,78177.80000000002,78302.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
202,53,36224,129816,-151.6199999999999,298.7600000000002,-925.1400000000003,-2579.5200000000004,-2506.0999999999985,-3215.7199999999993,-3534.66,-3474.959999999999,-3099.420000000002,-1634.199999999997,-1183.8199999999997,470.5600000000013,355.0599999999977,-1299.3199999999997,-2821.7000000000007,-4291.919999999998,-3326.4600000000028,-3215.159999999996,-3924.779999999999,-2270.399999999994,-987.9800000000032,-1325.6399999999994,196.74000000000524,1851.1200000000026,3318.5,1664.1199999999953,9.739999999997963,64.63999999999942,1415.020000000004,3069.4000000000015,4723.780000000006,6378.1600000000035,6696.540000000001,6621.0799999999945,7465.300000000003,7783.680000000008,9306.060000000005,10960.440000000002,9405.179999999993,7882.799999999988,6228.419999999998,6329.960000000006,7984.340000000011,9638.720000000001,11293.100000000006,12947.48000000001,14601.86,14747.759999999995,14298.62000000001,15953.0,17607.380000000005,19261.76000000001,20916.14,22570.520000000004,24224.90000000001,25879.28,27533.660000000003,29188.040000000008,30842.420000000013,31311.199999999997,32947.18000000001,34601.56000000001,36255.94,37910.32000000001,39564.70000000001,41219.08,42873.46000000001,44527.84000000001,46182.22,46632.600000000006,48286.98000000001,49941.360000000015,51595.740000000005,53250.12000000001,54904.500000000015,56558.880000000005,58213.26000000001,59735.640000000014,61169.97999999998,61840.40000000002,63494.78,65149.16,66803.54000000001,68457.92000000001,70112.30000000002,71766.68000000002,73421.06,75075.44,76729.82,78384.20000000001,80038.58000000002,81692.96000000002,83347.34,85001.72,86656.1,88310.48000000001,89964.86000000002,91487.24000000002,93141.62000000002,93592.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
94,80,88554,37028,-117.16000000000008,-168.32000000000016,-176.51999999999953,-446.6400000000003,-1701.8000000000002,-2956.960000000001,-2876.120000000001,-2927.2800000000007,-2846.4400000000005,-3969.6000000000004,-3888.76,-3960.079999999998,-4040.9199999999983,-5149.759999999998,-5230.5999999999985,-5348.560000000001,-6603.720000000001,-7858.880000000001,-8850.04,-7794.799999999999,-7484.360000000001,-6620.48,-5365.32,-5314.159999999996,-4929.000000000004,-4007.8399999999965,-2752.6800000000003,-1497.5199999999968,-242.36000000000058,1012.8000000000029,2267.959999999999,2319.1200000000026,2370.280000000006,2421.4400000000023,1387.3999999999942,2523.760000000002,3646.9200000000055,2701.9199999999983,1446.7599999999948,191.59999999999854,-931.560000000005,-2054.720000000001,-3309.8800000000047,-4433.040000000001,-5688.200000000004,-6943.360000000001,-8066.520000000004,-8086.319999999992,-8036.840000000004,-7011.999999999993,-5888.8399999999965,-5694.320000000007,-6949.4800000000105,-8204.64,-9327.800000000003,-10450.960000000006,-11706.12000000001,-12961.279999999999,-14084.440000000002,-15339.600000000006,-16462.76000000001,-17717.92,-18973.08,-18892.240000000005,-20147.40000000001,-21402.560000000012,-22657.72,-23912.880000000005,-25036.040000000008,-26291.20000000001,-27414.36,-26962.479999999996,-26488.680000000008,-26816.15999999999,-25693.0,-25658.160000000003,-26913.320000000007,-28168.48000000001,-29291.64,-30414.800000000003,-31537.960000000006,-32661.12000000001,-33784.28000000001,-35039.44,-36294.600000000006,-37417.76000000001,-38540.92000000001,-39664.08,-40919.240000000005,-42174.40000000001,-43429.56000000001,-44684.72,-45939.880000000005,-46492.95999999999,-47114.20000000001,-48369.360000000015,-49492.520000000004,-50615.68000000001,-51577.15999999999,-51526.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
318,133,133604,174294,-736.3200000000002,-1582.6400000000003,-2475.039999999999,-3863.2800000000007,-2250.3999999999996,827.9200000000019,3906.2400000000016,6984.560000000001,10062.880000000001,13141.2,15612.479999999996,16933.840000000004,19880.160000000003,19577.519999999997,22600.800000000003,23628.879999999997,26393.440000000002,29471.760000000002,32418.08,33264.4,35138.72,38217.04000000001,41295.36,44373.68000000001,47452.0,50530.32000000001,53608.64,56686.96000000001,59765.28,62843.600000000006,64585.92,67451.76,65973.43999999999,63159.119999999995,62620.79999999999,63869.520000000004,62572.15999999999,59718.16,57883.51999999999,57477.2,54530.87999999999,51584.56,48638.23999999999,45823.919999999984,47682.399999999994,49556.72,52371.04000000001,55317.360000000015,58372.31999999998,58454.0,55507.67999999999,52429.359999999986,49691.03999999998,46744.72,43798.399999999994,42931.92000000001,40589.75999999998,37643.44,38530.880000000005,41477.20000000001,43087.52000000002,40938.16,38956.16,38173.51999999999,35227.19999999998,32148.879999999976,29070.559999999998,26124.23999999999,23309.919999999984,20363.599999999977,18621.28,15806.959999999992,12992.639999999985,10046.319999999978,8172.0,5225.679999999993,2279.359999999986,1098.960000000021,4177.279999999999,6288.399999999994,7042.079999999987,4095.75999999998,4585.439999999973,3328.8800000000047,5071.200000000012,8017.520000000019,11095.840000000026,14174.160000000033,17252.48000000004,20330.79999999999,21809.119999999995,23683.440000000002,25486.23999999999,28372.080000000016,30114.400000000023,33192.72000000003,35168.95999999996,36098.639999999956,38815.67999999999,40690.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
